game_type,name,season,date,game_number,toi,adjgsaa60,season_game_number,coach
regular_season,Marc-Andre.Fleury,20052006,2005-10-10,1,39.9,-0.673661250021902,1,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-10-14,2,12.4,-5.10703090625088,2,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-10-15,3,41.5,0.155343066953333,3,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-11-16,4,33.0,5.34726486159424,4,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-11-29,5,26.5,0.579927405862577,5,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-01,6,36.7,2.97333106223823,6,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-03,7,31.9,0.73574400793445,7,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-10,8,32.1,-1.23891697535812,8,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-12,9,37.1,2.91249241254903,9,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-13,10,24.3,0.590238268782457,10,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-16,11,30.8,0.352003311514554,11,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-23,12,27.8,1.9787491058897,12,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-27,13,40.0,1.97279148366883,13,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-29,14,37.1,3.46577295488668,14,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2005-12-31,15,33.6,0.496642321416949,15,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-06,16,27.9,4.94042402071781,16,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-07,17,31.7,-1.70285852668089,17,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-10,18,44.2,1.22039465305791,18,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-11,19,20.7,-3.21187965744869,19,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-13,20,31.9,1.28972823296079,20,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-15,21,29.8,2.48459057756842,21,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-16,22,29.8,-0.856291375066884,22,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-19,23,40.7,-1.50358396803917,23,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-21,24,37.2,2.05467027216443,24,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-23,25,36.9,-1.09511284046672,25,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-25,26,26.0,3.35324608152898,26,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-01-28,27,40.7,-1.34513529757285,27,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-02-01,28,31.9,3.69086127371936,28,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-02-04,29,33.6,1.66642905693598,29,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-02-06,30,42.5,2.34973168076263,30,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-02-08,31,36.4,3.81853093534606,31,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-02-11,32,33.0,1.55188467203775,32,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-01,33,39.1,-1.14044890535621,33,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-04,34,4.8,-23.9151719353853,34,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-07,35,38.9,-0.557118487550732,35,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-11,37,38.6,-0.613471156968475,36,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-12,38,29.8,2.66946190072363,37,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-16,39,36.2,1.37457335024734,38,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-19,40,40.4,4.33191151345876,39,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-24,42,40.2,-1.3066660795396,40,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-26,43,37.1,-2.13706258606195,41,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-03-29,44,19.7,-6.91212139217516,42,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-04-02,45,38.1,2.11807058295448,43,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-04-05,46,38.2,-0.0233443238194694,44,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-04-08,47,40.1,0.123534335038841,45,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-04-13,48,46.4,-0.692384270069785,46,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-04-17,50,38.3,0.610636218100932,47,Giles Meloche
regular_season,Marc-Andre.Fleury,20052006,2006-04-18,51,20.2,4.15979188403427,48,Giles Meloche
regular_season,Marc-Andre.Fleury,20062007,2006-10-05,52,32.3,3.92357200946014,1,Giles Meloche
regular_season,Marc-Andre.Fleury,20062007,2006-10-07,53,44.1,0.6863938353483,2,Giles Meloche
regular_season,Marc-Andre.Fleury,20062007,2006-10-12,54,30.1,4.32038052437918,3,Giles Meloche
