"","game_type","team","name","season","date","toi","svH","svM","svL","saH","saM","saL","G.H","G.M","G.L","la.svH","la.svM","la.svL","lgsaa","mgsaa","hgsaa","adjgsaa60","adjgsaa","game_number"
"1","playoff_game","S.J","Vesa.Toskala","20052006",2006-04-21,34.5,0.01,0.01,0.01,4,6,10,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.34849069885048,0.520717471015038,1.01846921706313,3.28291719465852,1.88767738692865,1
"2","playoff_game","DET","Manny.Legace","20052006",2006-04-21,55.6,0.01,0.01,0.01,3,5,7,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.433931225845865,0.763851912797349,1.55582010198405,1.44172662783855,1
"3","playoff_game","T.B","John.Grahame","20052006",2006-04-21,32.6,0.01,0.01,0.01,8,4,7,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.347144980676692,2.03693843412626,4.83685933251219,2.62802690399829,1
"4","playoff_game","OTT","Ray.Emery","20052006",2006-04-21,32.6,0.01,0.01,0.01,4,4,14,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.487886978390672,0.347144980676692,1.01846921706313,3.41135185790889,1.8535011761305,1
"5","playoff_game","CGY","Miikka.Kiprusoff","20052006",2006-04-21,43.6,0.005,0.01,0.01,1,9,11,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.383339768735528,0.781076206522557,-0.745382695734217,0.576651302097066,0.419033279523868,1
"6","playoff_game","EDM","Dwayne.Roloson","20052006",2006-04-21,55.6,0.008571,0.009231,0.01,8,14,18,1,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.627283257930864,0.215007432368422,1.03693843412626,2.02794509830095,1.87922912442555,1
"7","playoff_game","ANA","Ilya.Bryzgalov","20052006",2006-04-21,43.6,0.007143,0.01,0.01,5,7,7,2,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.607503716184211,-0.726913478671085,0.171376688130911,0.124533726708462,1
"8","playoff_game","NSH","Chris.Mason","20052006",2006-04-21,34.5,0.008333,0.008333,0.01,7,7,8,1,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.278792559080384,-0.392496283815789,0.782321129860481,1.16281287847839,0.668617405125076,1
"9","playoff_game","DAL","Johan.Hedberg","20052006",2006-04-22,0.1,NA,NA,NA,0,0,0,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0,0,0,0,0,1
"10","playoff_game","N.J","Martin.Brodeur","20052006",2006-04-22,25.1,0.01,0.01,0.01,4,2,8,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.278792559080384,0.173572490338346,1.01846921706313,3.51593848561401,1.47083426648186,1
"11","playoff_game","MTL","Cristobal.Huet","20052006",2006-04-22,40.6,0.009091,0.01,0.01,10,8,7,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.694289961353384,1.54617304265783,3.67153668946781,2.48440649320655,1
"12","playoff_game","BUF","Ryan.Miller","20052006",2006-04-22,50.2,0.006667,0.01,0.01,2,5,11,1,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.383339768735528,0.433931225845865,-0.490765391468434,0.390245740772461,0.326505603112959,1
"13","playoff_game","PHI","Robert.Esche","20052006",2006-04-22,50.2,0.009231,0.01,0.008889,12,9,10,1,0,1,0.745382695734217,0.913213754830827,0.965150930114952,-0.65150930114952,0.781076206522557,2.0554076511894,2.61152337437741,2.18497455656243,1
"14","playoff_game","NYR","Henrik.Lundqvist","20052006",2006-04-22,25.1,0.01,0.01,0.006667,2,3,4,0,0,1,0.745382695734217,0.913213754830827,0.965150930114952,-0.860603720459808,0.260358735507519,0.509234608531566,-0.217554684671051,-0.0910103764207231,1
"15","playoff_game","DAL","Marty.Turco","20052006",2006-04-22,36.5,0.007143,0.008,0.01,7,6,6,2,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.209094419310288,-0.479282528984962,-0.217678870139519,-0.801973117502783,-0.487866979814193,1
"16","playoff_game","COL","Jose.Theodore","20052006",2006-04-22,36.5,0.0075,0.006667,0.01,5,4,3,1,1,0,0.745382695734217,0.913213754830827,0.965150930114952,0.104547209655144,-0.652855019323308,0.273086521328915,-0.452418556174108,-0.275221288339249,1
"17","playoff_game","CAR","Martin.Gerber","20052006",2006-04-22,40.6,0.0075,0.00625,0.01,9,11,3,1,3,0,0.745382695734217,0.913213754830827,0.965150930114952,0.104547209655144,-2.0453513031391,1.29155573839205,-0.959480327722029,-0.649248355091906,1
"18","playoff_game","T.B","Sean.Burke","20052006",2006-04-23,0.2,NA,NA,NA,0,0,0,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0,0,0,0,0,1
"19","playoff_game","S.J","Vesa.Toskala","20052006",2006-04-23,26.8,0.01,0.01,0.01,1,3,7,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.243943489195336,0.260358735507519,0.254617304265783,1.69907357231785,0.758919528968638,2
"20","playoff_game","NSH","Chris.Mason","20052006",2006-04-23,26.8,0.01,0.01,0.01,2,1,8,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.278792559080384,0.086786245169173,0.509234608531566,1.95853749130102,0.874813412781123,2
"21","playoff_game","ANA","Jean-Sebastien.Giguere","20052006",2006-04-23,26.2,0.01,0.01,0.01,3,2,5,0,0,0,0.745382695734217,0.913213754830827,0.965150930114952,0.17424534942524,0.173572490338346,0.763851912797349,2.545808593651,1.11166975256093,1
